file,label,feature
pop.00024,pop,pop/pop.00024.npy
reggae.00002,reggae,reggae/reggae.00002.npy
blues.00023,blues,blues/blues.00023.npy
country.00008,country,country/country.00008.npy
country.00066,country,country/country.00066.npy
reggae.00054,reggae,reggae/reggae.00054.npy
jazz.00018,jazz,jazz/jazz.00018.npy
metal.00033,metal,metal/metal.00033.npy
jazz.00066,jazz,jazz/jazz.00066.npy
rock.00008,rock,rock/rock.00008.npy
disco.00026,disco,disco/disco.00026.npy
disco.00018,disco,disco/disco.00018.npy
reggae.00094,reggae,reggae/reggae.00094.npy
blues.00004,blues,blues/blues.00004.npy
country.00090,country,country/country.00090.npy
jazz.00008,jazz,jazz/jazz.00008.npy
country.00050,country,country/country.00050.npy
disco.00049,disco,disco/disco.00049.npy
disco.00015,disco,disco/disco.00015.npy
classical.00057,classical,classical/classical.00057.npy
classical.00079,classical,classical/classical.00079.npy
blues.00029,blues,blues/blues.00029.npy
rock.00071,rock,rock/rock.00071.npy
rock.00099,rock,rock/rock.00099.npy
rock.00024,rock,rock/rock.00024.npy
disco.00001,disco,disco/disco.00001.npy
reggae.00024,reggae,reggae/reggae.00024.npy
hiphop.00075,hiphop,hiphop/hiphop.00075.npy
metal.00074,metal,metal/metal.00074.npy
blues.00011,blues,blues/blues.00011.npy
reggae.00031,reggae,reggae/reggae.00031.npy
rock.00010,rock,rock/rock.00010.npy
disco.00012,disco,disco/disco.00012.npy
jazz.00016,jazz,jazz/jazz.00016.npy
country.00029,country,country/country.00029.npy
jazz.00005,jazz,jazz/jazz.00005.npy
disco.00075,disco,disco/disco.00075.npy
hiphop.00055,hiphop,hiphop/hiphop.00055.npy
jazz.00055,jazz,jazz/jazz.00055.npy
blues.00040,blues,blues/blues.00040.npy
disco.00097,disco,disco/disco.00097.npy
metal.00032,metal,metal/metal.00032.npy
blues.00020,blues,blues/blues.00020.npy
reggae.00042,reggae,reggae/reggae.00042.npy
jazz.00031,jazz,jazz/jazz.00031.npy
disco.00011,disco,disco/disco.00011.npy
disco.00037,disco,disco/disco.00037.npy
pop.00058,pop,pop/pop.00058.npy
classical.00082,classical,classical/classical.00082.npy
hiphop.00028,hiphop,hiphop/hiphop.00028.npy
disco.00006,disco,disco/disco.00006.npy
metal.00022,metal,metal/metal.00022.npy
country.00053,country,country/country.00053.npy
hiphop.00100,hiphop,hiphop/hiphop.00100.npy
disco.00070,disco,disco/disco.00070.npy
blues.00042,blues,blues/blues.00042.npy
rock.00004,rock,rock/rock.00004.npy
jazz.00023,jazz,jazz/jazz.00023.npy
pop.00004,pop,pop/pop.00004.npy
jazz.00097,jazz,jazz/jazz.00097.npy
disco.00031,disco,disco/disco.00031.npy
classical.00089,classical,classical/classical.00089.npy
reggae.00095,reggae,reggae/reggae.00095.npy
classical.00043,classical,classical/classical.00043.npy
reggae.00011,reggae,reggae/reggae.00011.npy
metal.00059,metal,metal/metal.00059.npy
pop.00044,pop,pop/pop.00044.npy
reggae.00078,reggae,reggae/reggae.00078.npy
rock.00096,rock,rock/rock.00096.npy
jazz.00011,jazz,jazz/jazz.00011.npy
jazz.00076,jazz,jazz/jazz.00076.npy
hiphop.00017,hiphop,hiphop/hiphop.00017.npy
pop.00027,pop,pop/pop.00027.npy
rock.00058,rock,rock/rock.00058.npy
reggae.00036,reggae,reggae/reggae.00036.npy
reggae.00013,reggae,reggae/reggae.00013.npy
blues.00002,blues,blues/blues.00002.npy
blues.00027,blues,blues/blues.00027.npy
jazz.00058,jazz,jazz/jazz.00058.npy
country.00005,country,country/country.00005.npy
classical.00068,classical,classical/classical.00068.npy
country.00055,country,country/country.00055.npy
pop.00093,pop,pop/pop.00093.npy
reggae.00001,reggae,reggae/reggae.00001.npy
hiphop.00012,hiphop,hiphop/hiphop.00012.npy
country.00097,country,country/country.00097.npy
disco.00068,disco,disco/disco.00068.npy
disco.00053,disco,disco/disco.00053.npy
jazz.00053,jazz,jazz/jazz.00053.npy
rock.00033,rock,rock/rock.00033.npy
reggae.00097,reggae,reggae/reggae.00097.npy
rock.00076,rock,rock/rock.00076.npy
classical.00041,classical,classical/classical.00041.npy
disco.00089,disco,disco/disco.00089.npy
reggae.00026,reggae,reggae/reggae.00026.npy
metal.00057,metal,metal/metal.00057.npy
jazz.00054,jazz,jazz/jazz.00054.npy
disco.00066,disco,disco/disco.00066.npy
jazz.00043,jazz,jazz/jazz.00043.npy
jazz.00025,jazz,jazz/jazz.00025.npy
classical.00087,classical,classical/classical.00087.npy
blues.00084,blues,blues/blues.00084.npy
metal.00061,metal,metal/metal.00061.npy
jazz.00071,jazz,jazz/jazz.00071.npy
jazz.00022,jazz,jazz/jazz.00022.npy
hiphop.00078,hiphop,hiphop/hiphop.00078.npy
classical.00028,classical,classical/classical.00028.npy
country.00004,country,country/country.00004.npy
jazz.00020,jazz,jazz/jazz.00020.npy
metal.00028,metal,metal/metal.00028.npy
pop.00070,pop,pop/pop.00070.npy
pop.00069,pop,pop/pop.00069.npy
rock.00095,rock,rock/rock.00095.npy
country.00059,country,country/country.00059.npy
classical.00021,classical,classical/classical.00021.npy
disco.00045,disco,disco/disco.00045.npy
rock.00011,rock,rock/rock.00011.npy
metal.00052,metal,metal/metal.00052.npy
country.00012,country,country/country.00012.npy
metal.00048,metal,metal/metal.00048.npy
blues.00008,blues,blues/blues.00008.npy
metal.00036,metal,metal/metal.00036.npy
pop.00062,pop,pop/pop.00062.npy
classical.00045,classical,classical/classical.00045.npy
disco.00020,disco,disco/disco.00020.npy
classical.00088,classical,classical/classical.00088.npy
pop.00097,pop,pop/pop.00097.npy
country.00039,country,country/country.00039.npy
metal.00043,metal,metal/metal.00043.npy
country.00052,country,country/country.00052.npy
disco.00047,disco,disco/disco.00047.npy
classical.00070,classical,classical/classical.00070.npy
country.00034,country,country/country.00034.npy
pop.00090,pop,pop/pop.00090.npy
blues.00090,blues,blues/blues.00090.npy
jazz.00041,jazz,jazz/jazz.00041.npy
jazz.00002,jazz,jazz/jazz.00002.npy
hiphop.00038,hiphop,hiphop/hiphop.00038.npy
country.00049,country,country/country.00049.npy
classical.00097,classical,classical/classical.00097.npy
disco.00057,disco,disco/disco.00057.npy
pop.00006,pop,pop/pop.00006.npy
blues.00095,blues,blues/blues.00095.npy
country.00095,country,country/country.00095.npy
reggae.00071,reggae,reggae/reggae.00071.npy
metal.00058,metal,metal/metal.00058.npy
jazz.00093,jazz,jazz/jazz.00093.npy
rock.00018,rock,rock/rock.00018.npy
classical.00046,classical,classical/classical.00046.npy
country.00002,country,country/country.00002.npy
country.00020,country,country/country.00020.npy
rock.00048,rock,rock/rock.00048.npy
jazz.00065,jazz,jazz/jazz.00065.npy
metal.00086,metal,metal/metal.00086.npy
metal.00072,metal,metal/metal.00072.npy
country.00015,country,country/country.00015.npy
blues.00019,blues,blues/blues.00019.npy
rock.00068,rock,rock/rock.00068.npy
jazz.00099,jazz,jazz/jazz.00099.npy
hiphop.00019,hiphop,hiphop/hiphop.00019.npy
hiphop.00082,hiphop,hiphop/hiphop.00082.npy
rock.00067,rock,rock/rock.00067.npy
pop.00031,pop,pop/pop.00031.npy
country.00028,country,country/country.00028.npy
jazz.00090,jazz,jazz/jazz.00090.npy
metal.00055,metal,metal/metal.00055.npy
hiphop.00014,hiphop,hiphop/hiphop.00014.npy
country.00076,country,country/country.00076.npy
jazz.00077,jazz,jazz/jazz.00077.npy
metal.00031,metal,metal/metal.00031.npy
metal.00020,metal,metal/metal.00020.npy
metal.00025,metal,metal/metal.00025.npy
disco.00023,disco,disco/disco.00023.npy
pop.00022,pop,pop/pop.00022.npy
disco.00055,disco,disco/disco.00055.npy
hiphop.00070,hiphop,hiphop/hiphop.00070.npy
hiphop.00008,hiphop,hiphop/hiphop.00008.npy
rock.00017,rock,rock/rock.00017.npy
metal.00024,metal,metal/metal.00024.npy
reggae.00015,reggae,reggae/reggae.00015.npy
blues.00018,blues,blues/blues.00018.npy
rock.00064,rock,rock/rock.00064.npy
disco.00046,disco,disco/disco.00046.npy
disco.00067,disco,disco/disco.00067.npy
reggae.00060,reggae,reggae/reggae.00060.npy
metal.00067,metal,metal/metal.00067.npy
rock.00073,rock,rock/rock.00073.npy
disco.00029,disco,disco/disco.00029.npy
blues.00066,blues,blues/blues.00066.npy
disco.00052,disco,disco/disco.00052.npy
pop.00050,pop,pop/pop.00050.npy
jazz.00026,jazz,jazz/jazz.00026.npy
blues.00046,blues,blues/blues.00046.npy
blues.00005,blues,blues/blues.00005.npy
blues.00009,blues,blues/blues.00009.npy
disco.00100,disco,disco/disco.00100.npy
jazz.00001,jazz,jazz/jazz.00001.npy
reggae.00065,reggae,reggae/reggae.00065.npy
pop.00092,pop,pop/pop.00092.npy
classical.00008,classical,classical/classical.00008.npy
classical.00078,classical,classical/classical.00078.npy
metal.00087,metal,metal/metal.00087.npy
disco.00059,disco,disco/disco.00059.npy
pop.00082,pop,pop/pop.00082.npy
reggae.00030,reggae,reggae/reggae.00030.npy
jazz.00010,jazz,jazz/jazz.00010.npy
blues.00082,blues,blues/blues.00082.npy
classical.00025,classical,classical/classical.00025.npy
metal.00029,metal,metal/metal.00029.npy
disco.00010,disco,disco/disco.00010.npy
reggae.00086,reggae,reggae/reggae.00086.npy
reggae.00074,reggae,reggae/reggae.00074.npy
blues.00072,blues,blues/blues.00072.npy
metal.00012,metal,metal/metal.00012.npy
hiphop.00061,hiphop,hiphop/hiphop.00061.npy
reggae.00037,reggae,reggae/reggae.00037.npy
classical.00069,classical,classical/classical.00069.npy
reggae.00046,reggae,reggae/reggae.00046.npy
jazz.00037,jazz,jazz/jazz.00037.npy
country.00009,country,country/country.00009.npy
rock.00047,rock,rock/rock.00047.npy
reggae.00007,reggae,reggae/reggae.00007.npy
blues.00036,blues,blues/blues.00036.npy
country.00010,country,country/country.00010.npy
classical.00031,classical,classical/classical.00031.npy
hiphop.00004,hiphop,hiphop/hiphop.00004.npy
hiphop.00050,hiphop,hiphop/hiphop.00050.npy
reggae.00073,reggae,reggae/reggae.00073.npy
blues.00039,blues,blues/blues.00039.npy
pop.00076,pop,pop/pop.00076.npy
disco.00033,disco,disco/disco.00033.npy
pop.00021,pop,pop/pop.00021.npy
hiphop.00016,hiphop,hiphop/hiphop.00016.npy
country.00024,country,country/country.00024.npy
metal.00021,metal,metal/metal.00021.npy
hiphop.00081,hiphop,hiphop/hiphop.00081.npy
metal.00069,metal,metal/metal.00069.npy
disco.00098,disco,disco/disco.00098.npy
blues.00055,blues,blues/blues.00055.npy
reggae.00062,reggae,reggae/reggae.00062.npy
reggae.00049,reggae,reggae/reggae.00049.npy
jazz.00004,jazz,jazz/jazz.00004.npy
rock.00083,rock,rock/rock.00083.npy
blues.00077,blues,blues/blues.00077.npy
classical.00064,classical,classical/classical.00064.npy
metal.00078,metal,metal/metal.00078.npy
reggae.00005,reggae,reggae/reggae.00005.npy
classical.00050,classical,classical/classical.00050.npy
rock.00045,rock,rock/rock.00045.npy
rock.00091,rock,rock/rock.00091.npy
disco.00074,disco,disco/disco.00074.npy
pop.00049,pop,pop/pop.00049.npy
reggae.00067,reggae,reggae/reggae.00067.npy
hiphop.00023,hiphop,hiphop/hiphop.00023.npy
blues.00051,blues,blues/blues.00051.npy
reggae.00093,reggae,reggae/reggae.00093.npy
blues.00067,blues,blues/blues.00067.npy
classical.00009,classical,classical/classical.00009.npy
rock.00069,rock,rock/rock.00069.npy
disco.00072,disco,disco/disco.00072.npy
jazz.00040,jazz,jazz/jazz.00040.npy
country.00065,country,country/country.00065.npy
blues.00091,blues,blues/blues.00091.npy
classical.00035,classical,classical/classical.00035.npy
country.00014,country,country/country.00014.npy
blues.00075,blues,blues/blues.00075.npy
classical.00048,classical,classical/classical.00048.npy
country.00083,country,country/country.00083.npy
classical.00033,classical,classical/classical.00033.npy
country.00080,country,country/country.00080.npy
hiphop.00069,hiphop,hiphop/hiphop.00069.npy
disco.00042,disco,disco/disco.00042.npy
reggae.00057,reggae,reggae/reggae.00057.npy
reggae.00077,reggae,reggae/reggae.00077.npy
hiphop.00063,hiphop,hiphop/hiphop.00063.npy
rock.00070,rock,rock/rock.00070.npy
classical.00100,classical,classical/classical.00100.npy
hiphop.00073,hiphop,hiphop/hiphop.00073.npy
classical.00038,classical,classical/classical.00038.npy
classical.00093,classical,classical/classical.00093.npy
rock.00072,rock,rock/rock.00072.npy
jazz.00073,jazz,jazz/jazz.00073.npy
metal.00065,metal,metal/metal.00065.npy
jazz.00083,jazz,jazz/jazz.00083.npy
metal.00037,metal,metal/metal.00037.npy
reggae.00003,reggae,reggae/reggae.00003.npy
rock.00051,rock,rock/rock.00051.npy
rock.00089,rock,rock/rock.00089.npy
blues.00093,blues,blues/blues.00093.npy
disco.00081,disco,disco/disco.00081.npy
disco.00088,disco,disco/disco.00088.npy
rock.00015,rock,rock/rock.00015.npy
country.00011,country,country/country.00011.npy
jazz.00084,jazz,jazz/jazz.00084.npy
hiphop.00057,hiphop,hiphop/hiphop.00057.npy
classical.00004,classical,classical/classical.00004.npy
country.00088,country,country/country.00088.npy
disco.00024,disco,disco/disco.00024.npy
pop.00072,pop,pop/pop.00072.npy
classical.00022,classical,classical/classical.00022.npy
jazz.00070,jazz,jazz/jazz.00070.npy
disco.00021,disco,disco/disco.00021.npy
reggae.00089,reggae,reggae/reggae.00089.npy
rock.00075,rock,rock/rock.00075.npy
disco.00083,disco,disco/disco.00083.npy
classical.00063,classical,classical/classical.00063.npy
pop.00100,pop,pop/pop.00100.npy
pop.00002,pop,pop/pop.00002.npy
country.00017,country,country/country.00017.npy
pop.00089,pop,pop/pop.00089.npy
hiphop.00007,hiphop,hiphop/hiphop.00007.npy
blues.00038,blues,blues/blues.00038.npy
blues.00073,blues,blues/blues.00073.npy
country.00084,country,country/country.00084.npy
hiphop.00074,hiphop,hiphop/hiphop.00074.npy
hiphop.00045,hiphop,hiphop/hiphop.00045.npy
hiphop.00096,hiphop,hiphop/hiphop.00096.npy
country.00089,country,country/country.00089.npy
blues.00074,blues,blues/blues.00074.npy
reggae.00096,reggae,reggae/reggae.00096.npy
disco.00091,disco,disco/disco.00091.npy
disco.00002,disco,disco/disco.00002.npy
jazz.00048,jazz,jazz/jazz.00048.npy
disco.00014,disco,disco/disco.00014.npy
jazz.00057,jazz,jazz/jazz.00057.npy
hiphop.00077,hiphop,hiphop/hiphop.00077.npy
country.00094,country,country/country.00094.npy
rock.00009,rock,rock/rock.00009.npy
metal.00075,metal,metal/metal.00075.npy
jazz.00060,jazz,jazz/jazz.00060.npy
pop.00007,pop,pop/pop.00007.npy
classical.00075,classical,classical/classical.00075.npy
blues.00050,blues,blues/blues.00050.npy
country.00100,country,country/country.00100.npy
jazz.00078,jazz,jazz/jazz.00078.npy
country.00022,country,country/country.00022.npy
jazz.00091,jazz,jazz/jazz.00091.npy
hiphop.00041,hiphop,hiphop/hiphop.00041.npy
country.00074,country,country/country.00074.npy
country.00098,country,country/country.00098.npy
metal.00049,metal,metal/metal.00049.npy
country.00085,country,country/country.00085.npy
jazz.00038,jazz,jazz/jazz.00038.npy
country.00072,country,country/country.00072.npy
jazz.00049,jazz,jazz/jazz.00049.npy
metal.00015,metal,metal/metal.00015.npy
